N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Crop_cotton,Crop_maize,Crop_rice
6.75,3.0,6.75,28,65,6.0,True,False,False
22.00975,10.56468,19.36858,25,80,6.5,False,False,True
18.69237,8.30772,11.76927,22,70,6.0,False,True,False
49.454,23.737920000000003,43.51952,25,80,6.5,False,False,True
11.91675,5.720040000000001,10.48674,25,80,6.5,False,False,True
13.88934,7.7163,13.88934,20,60,6.5,False,False,False
18.99522,10.5529,18.99522,20,60,6.5,False,False,False
7.84242,3.48552,7.84242,28,65,6.0,True,False,False
10.519559999999998,5.844199999999999,10.519559999999998,20,60,6.5,False,False,False
2.0695500000000004,0.9198000000000002,2.0695500000000004,28,65,6.0,True,False,False
26.50842,14.7269,26.50842,20,60,6.5,False,False,False
26.1775,12.5652,23.0362,25,80,6.5,False,False,True
2.1411,0.9516,2.1411,28,65,6.0,True,False,False
30.15711,13.40316,18.98781,22,70,6.0,False,True,False
30.681719999999995,13.636319999999998,19.31812,22,70,6.0,False,True,False
13.5,6.0,8.5,22,70,6.0,False,True,False
18.32575,8.79636,16.126659999999998,25,80,6.5,False,False,True
27.0,12.0,17.0,22,70,6.0,False,True,False
43.718250000000005,20.98476,38.47206,25,80,6.5,False,False,True
5.707260000000001,3.1707,5.707260000000001,20,60,6.5,False,False,False
8.1,3.6,8.1,28,65,6.0,True,False,False
21.6,9.6,13.6,22,70,6.0,False,True,False
62.86896,27.94176,39.58416,22,70,6.0,False,True,False
14.99994,8.3333,14.99994,20,60,6.5,False,False,False
12.27285,5.4546,7.72735,22,70,6.0,False,True,False
23.4875,11.274,20.669,25,80,6.5,False,False,True
13.96548,7.758599999999999,13.96548,20,60,6.5,False,False,False
36.28908,16.12848,22.84868,22,70,6.0,False,True,False
4.15395,1.8462,4.15395,28,65,6.0,True,False,False
113.25123,50.33388,71.30633,22,70,6.0,False,True,False
31.8715,15.29832,28.04692,25,80,6.5,False,False,True
61.087,29.32176,53.75656,25,80,6.5,False,False,True
32.8125,15.75,28.875,25,80,6.5,False,False,True
32.80635,14.5806,20.65585,22,70,6.0,False,True,False
14.350320000000002,7.9724,14.350320000000002,20,60,6.5,False,False,False
29.02625,13.9326,25.5431,25,80,6.5,False,False,True
3.91311,1.73916,3.91311,28,65,6.0,True,False,False
50.0,24.0,44.0,25,80,6.5,False,False,True
13.5,6.0,13.5,28,65,6.0,True,False,False
5.32386,2.9577,5.32386,20,60,6.5,False,False,False
8.40006,4.6667000000000005,8.40006,20,60,6.5,False,False,False
20.58825,9.88236,18.11766,25,80,6.5,False,False,True
12.42738,6.9041,12.42738,20,60,6.5,False,False,False
30.03875,14.418599999999998,26.4341,25,80,6.5,False,False,True
31.35492,17.4194,31.35492,20,60,6.5,False,False,False
176.22711,78.32316,110.95781,22,70,6.0,False,True,False
46.5705,22.35384,40.98204,25,80,6.5,False,False,True
49.01425,23.52684,43.13254,25,80,6.5,False,False,True
7.06824,3.9268,7.06824,20,60,6.5,False,False,False
16.00002,8.8889,16.00002,20,60,6.5,False,False,False
2.8390500000000003,1.2618,2.8390500000000003,28,65,6.0,True,False,False
13.5,6.0,8.5,22,70,6.0,False,True,False
53.47728000000001,23.76768,33.670880000000004,22,70,6.0,False,True,False
27.57861,12.25716,17.36431,22,70,6.0,False,True,False
15.975,8.875,15.975,20,60,6.5,False,False,False
13.3353,7.4085,13.3353,20,60,6.5,False,False,False
22.44325,10.77276,19.75006,25,80,6.5,False,False,True
23.99994,13.3333,23.99994,20,60,6.5,False,False,False
13.69692,7.609400000000001,13.69692,20,60,6.5,False,False,False
199.8,88.80000000000001,125.8,22,70,6.0,False,True,False
12.5,6.0,11.0,25,80,6.5,False,False,True
25.34925,12.16764,22.30734,25,80,6.5,False,False,True
9.6516,5.362,9.6516,20,60,6.5,False,False,False
224.95239,99.97884,141.63669,22,70,6.0,False,True,False
27.57861,12.25716,17.36431,22,70,6.0,False,True,False
60.75,27.0,38.25,22,70,6.0,False,True,False
29.52936,16.4052,29.52936,20,60,6.5,False,False,False
1.62,0.72,1.62,28,65,6.0,True,False,False
62.52633,27.78948,39.36843,22,70,6.0,False,True,False
69.29825,33.26316,60.98246,25,80,6.5,False,False,True
35.99991,15.999959999999998,22.66661,22,70,6.0,False,True,False
5.184,2.3040000000000003,3.264,22,70,6.0,False,True,False
47.98197,21.32532,30.21087,22,70,6.0,False,True,False
135.99684000000002,60.44304,85.62764,22,70,6.0,False,True,False
18.67932,10.377400000000002,18.67932,20,60,6.5,False,False,False
46.69596000000001,20.75376,29.40116,22,70,6.0,False,True,False
8.44074,4.6893,8.44074,20,60,6.5,False,False,False
20.03675,9.61764,17.63234,25,80,6.5,False,False,True
